Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
0,1,0.7405258401974073,0.03661820489559864,0.008233904838562012,0.001999194819609013,0.0042854229609171545,0.0023999759142534324,0.01,{'var_smoothing': 0.01},0.7050359712230215,0.7266187050359713,0.7122302158273381,0.7769784172661871,0.762589928057554,0.7913669064748201,0.7482014388489209,0.7318840579710145,0.7318840579710145,0.7681159420289855,0.7391304347826086,0.7246376811594203,0.717391304347826,0.782608695652174,0.7536231884057971,0.7536231884057971,0.7536231884057971,0.7463768115942029,0.7391304347826086,0.6884057971014492,0.7608695652173914,0.6304347826086957,0.7608695652173914,0.7391304347826086,0.6739130434782609,0.7246376811594203,0.7898550724637681,0.7463768115942029,0.717391304347826,0.8188405797101449
1,2,0.7366680568588608,0.03958748258767413,0.00827031135559082,0.0027190013424669523,0.00404973824818929,0.0014285659157360542,0.001,{'var_smoothing': 0.001},0.697841726618705,0.7194244604316546,0.7050359712230215,0.7841726618705036,0.762589928057554,0.7841726618705036,0.7410071942446043,0.7246376811594203,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7536231884057971,0.7536231884057971,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6159420289855072,0.7608695652173914,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
2,3,0.7357036110242241,0.040208518368901956,0.007598026593526205,0.0021444813634535773,0.004812129338582357,0.0020237043979503652,0.0001,{'var_smoothing': 0.0001},0.697841726618705,0.7194244604316546,0.7050359712230215,0.7841726618705036,0.7553956834532374,0.7841726618705036,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7536231884057971,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6086956521739131,0.7608695652173914,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
6,4,0.7349789733430647,0.041272252265694774,0.007561930020650228,0.0013496140671380272,0.004473129908243815,0.002054829159550984,1e-08,{'var_smoothing': 1e-08},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
3,4,0.7349789733430647,0.041272252265694774,0.007599790891011556,0.0023620662178151517,0.0037420511245727537,0.0015665722295036323,1e-05,{'var_smoothing': 1e-05},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
12,4,0.7349789733430647,0.041272252265694774,0.008315833409627278,0.0022904979928297345,0.005870525042215983,0.0033346427128808534,1e-14,{'var_smoothing': 1e-14},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
10,4,0.7349789733430647,0.041272252265694774,0.009049709637959797,0.00321610053757576,0.00466155211130778,0.0017243289353463583,1e-12,{'var_smoothing': 1e-12},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
4,4,0.7349789733430647,0.041272252265694774,0.009090312321980794,0.004729890945279313,0.005095879236857097,0.0036181321564949854,1e-06,{'var_smoothing': 1e-06},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
13,4,0.7349789733430647,0.041272252265694774,0.009127275149027506,0.001849975878392362,0.00455170472462972,0.0028646116754402788,1e-15,{'var_smoothing': 1e-15},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
11,4,0.7349789733430647,0.041272252265694774,0.009386738141377768,0.0024008745005045067,0.00568243662516276,0.0024826080372757904,1e-13,{'var_smoothing': 1e-13},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
5,4,0.7349789733430647,0.041272252265694774,0.00944986343383789,0.00378221937943389,0.004704952239990234,0.002926797061716209,1e-07,{'var_smoothing': 1e-07},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
9,4,0.7349789733430647,0.041272252265694774,0.009511566162109375,0.002972127476938734,0.00448609987894694,0.0019310197901275753,1e-11,{'var_smoothing': 1e-11},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
7,4,0.7349789733430647,0.041272252265694774,0.011893320083618163,0.00649964209778739,0.00434579849243164,0.0022513932276771557,1e-09,{'var_smoothing': 1e-09},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
8,4,0.7349789733430647,0.041272252265694774,0.012913004557291666,0.00798030037434512,0.005611006418863932,0.004269520191510517,1e-10,{'var_smoothing': 1e-10},0.697841726618705,0.7194244604316546,0.697841726618705,0.7841726618705036,0.7553956834532374,0.7913669064748201,0.7410071942446043,0.717391304347826,0.7246376811594203,0.7608695652173914,0.717391304347826,0.7246376811594203,0.7028985507246377,0.782608695652174,0.7463768115942029,0.7463768115942029,0.7536231884057971,0.7391304347826086,0.7391304347826086,0.6884057971014492,0.7463768115942029,0.6014492753623188,0.7536231884057971,0.7463768115942029,0.6666666666666666,0.7246376811594203,0.782608695652174,0.7536231884057971,0.717391304347826,0.8260869565217391
