Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_new
0,3,male,22.0,1,0,7,S,F G73
1,1,female,38.0,1,0,71,C,C85
1,3,female,26.0,0,0,7,S,F G73
1,1,female,35.0,1,0,53,S,C123
0,3,male,35.0,0,0,8,S,E10
0,3,male,35.0,0,0,8,Q,E10
0,1,male,54.0,0,0,51,S,E46
0,3,male,2.0,3,1,21,S,F E69
1,3,female,27.0,0,2,11,S,F33
1,2,female,14.0,1,0,30,C,A7
1,3,female,4.0,1,1,16,S,G6
1,1,female,58.0,0,0,26,S,C103
0,3,male,20.0,0,0,8,S,E10
0,3,male,39.0,1,5,31,S,A31
0,3,female,14.0,0,0,7,S,F G73
1,2,female,55.0,0,0,16,S,G6
0,3,male,2.0,4,1,29,Q,C118
1,2,male,2.0,0,0,13,S,D56
0,3,female,31.0,1,0,18,S,G6
1,3,female,31.0,0,0,7,C,F G73
0,2,male,35.0,0,0,26,S,C103
1,2,male,34.0,0,0,13,S,D56
1,3,female,15.0,0,0,8,Q,E10
1,1,male,28.0,0,0,35,S,A6
0,3,female,8.0,3,1,21,S,F E69
1,3,female,38.0,1,5,31,S,A31
0,3,male,38.0,0,0,7,C,F G73
0,1,male,19.0,3,2,263,S,C23 C25 C27
1,3,female,19.0,0,0,7,Q,F G73
0,3,male,40.0,0,0,7,S,F G73
0,1,male,40.0,0,0,27,C,B4
1,1,female,40.0,1,0,146,C,B78
1,3,female,66.0,0,0,7,Q,F G73
0,2,male,66.0,0,0,10,S,F33
0,1,male,28.0,1,0,82,C,B86
0,1,male,42.0,1,0,52,S,C110
1,3,male,42.0,0,0,7,C,F G73
0,3,male,21.0,0,0,8,S,E10
0,3,female,18.0,2,0,18,S,G6
1,3,female,14.0,1,0,11,C,F33
0,3,female,40.0,1,0,9,S,E10
0,2,female,27.0,1,0,21,S,F E69
0,3,male,27.0,0,0,7,C,F G73
1,2,female,3.0,1,2,41,C,F4
1,3,female,19.0,0,0,7,Q,F G73
0,3,male,19.0,0,0,8,S,E10
0,3,male,19.0,1,0,15,Q,G6
1,3,female,18.0,0,0,7,Q,F G73
0,3,male,18.0,2,0,21,C,F E69
0,3,female,18.0,1,0,17,S,G6
0,3,male,7.0,4,1,39,S,F4
0,3,male,21.0,0,0,7,S,F G73
1,1,female,49.0,1,0,76,C,D33
1,2,female,29.0,1,0,26,S,C103
0,1,male,65.0,0,1,61,C,B30
1,1,male,65.0,0,0,35,S,C52
1,2,female,21.0,0,0,10,S,F33
0,3,male,28.5,0,0,7,C,F G73
1,2,female,5.0,1,2,27,S,B4
0,3,male,11.0,5,2,46,S,B39
0,3,male,22.0,0,0,7,C,F G73
1,1,female,38.0,0,0,80,S,B28
0,1,male,45.0,1,0,83,S,C83
0,3,male,4.0,3,2,27,S,B4
0,1,male,4.0,0,0,27,C,B4
1,3,male,29.0,1,1,15,C,G6
1,2,female,29.0,0,0,10,S,F33
0,3,male,19.0,0,0,8,S,E10
1,3,female,17.0,4,2,7,S,F G73
0,3,male,26.0,2,0,8,S,E10
0,2,male,32.0,0,0,10,S,F33
0,3,female,16.0,5,2,46,S,B39
0,2,male,21.0,0,0,73,S,B35
0,3,male,26.0,1,0,14,C,D56
1,3,male,32.0,0,0,56,S,E36
0,3,male,25.0,0,0,7,S,F G73
0,3,male,25.0,0,0,7,S,F G73
0,3,male,0.83,0,0,8,S,E10
1,2,male,0.83,0,2,29,S,C118
1,3,female,30.0,0,0,12,S,D
0,3,male,22.0,0,0,9,S,E10
1,3,male,29.0,0,0,9,S,E10
1,3,female,29.0,0,0,7,Q,F G73
0,1,male,28.0,0,0,47,S,B39
1,2,female,17.0,0,0,10,S,F33
1,3,female,33.0,3,0,15,S,G6
0,3,male,16.0,1,3,34,S,A5
0,3,male,16.0,0,0,8,S,E10
1,1,female,23.0,3,2,263,S,C23 C25 C27
0,3,male,24.0,0,0,8,S,E10
0,3,male,29.0,0,0,8,S,E10
0,3,male,20.0,0,0,7,S,F G73
0,1,male,46.0,1,0,61,S,E31
0,3,male,26.0,1,2,20,S,F E69
0,3,male,59.0,0,0,7,S,F G73
0,3,male,59.0,0,0,8,S,E10
0,1,male,71.0,0,0,34,C,A5
1,1,male,23.0,0,1,63,C,D10 D12
1,2,female,34.0,0,1,23,S,F E69
0,2,male,34.0,1,0,26,S,C103
0,3,female,28.0,0,0,7,S,F G73
0,3,male,28.0,0,0,7,S,F G73
0,1,male,21.0,0,1,77,S,D26
0,3,male,33.0,0,0,8,S,E10
0,3,male,37.0,2,0,7,S,F G73
0,3,male,28.0,0,0,7,S,F G73
1,3,female,21.0,0,0,7,S,F G73
1,3,male,21.0,0,0,7,S,F G73
0,3,male,38.0,0,0,7,S,F G73
1,3,female,38.0,1,0,24,Q,E58
0,1,male,47.0,0,0,52,S,C110
0,3,female,14.5,1,0,14,C,D56
0,3,male,22.0,0,0,8,S,E10
0,3,female,20.0,1,0,9,S,E10
0,3,female,17.0,0,0,14,C,D56
0,3,male,21.0,0,0,7,S,F G73
0,3,male,70.5,0,0,7,Q,F G73
0,2,male,29.0,1,0,21,S,F E69
0,1,male,24.0,0,1,247,C,B58 B60
0,3,female,2.0,4,2,31,S,A31
0,2,male,21.0,2,0,73,S,B35
0,3,male,21.0,0,0,8,S,E10
0,2,male,32.5,1,0,30,C,A7
1,2,female,32.5,0,0,13,S,E101
0,1,male,54.0,0,1,77,S,D26
1,3,male,12.0,1,0,11,C,F33
0,3,male,12.0,0,0,7,Q,F G73
1,3,male,24.0,0,0,7,S,F G73
1,3,female,24.0,1,1,22,C,F E69
0,3,male,45.0,0,0,6,S,F G73
0,3,male,33.0,0,0,7,C,F G73
0,3,male,20.0,0,0,7,S,F G73
0,3,female,47.0,1,0,14,S,D56
1,2,female,29.0,1,0,26,S,C103
0,2,male,25.0,0,0,13,S,D56
0,2,male,23.0,0,0,15,C,G6
1,1,female,19.0,0,2,26,S,D47
0,1,male,37.0,1,0,53,S,C123
0,3,male,16.0,0,0,9,S,E10
0,1,male,24.0,0,0,79,C,B86
0,3,female,24.0,0,2,15,C,G6
1,3,female,22.0,0,0,7,S,F G73
1,3,female,24.0,1,0,15,S,G6
0,3,male,19.0,0,0,6,Q,F G73
0,2,male,18.0,0,0,11,S,F33
0,2,male,19.0,1,1,36,S,A5
1,3,male,27.0,0,0,7,S,F G73
0,3,female,9.0,2,2,34,S,A5
0,2,male,36.5,0,2,26,S,F2
0,2,male,42.0,0,0,13,S,D56
0,2,male,51.0,0,0,12,S,D
1,1,female,22.0,1,0,66,S,C2
0,3,male,55.5,0,0,8,S,E10
0,3,male,40.5,0,2,14,S,D56
0,3,male,40.5,0,0,7,S,F G73
0,1,male,51.0,0,1,61,C,B30
1,3,female,16.0,0,0,7,Q,F G73
0,3,male,30.0,0,0,8,S,E10
0,3,male,30.0,0,0,8,S,E10
0,3,male,44.0,8,2,69,S,B35
0,3,male,44.0,0,1,16,S,G6
1,2,female,40.0,0,0,15,S,G6
0,3,male,26.0,0,0,7,S,F G73
0,3,male,17.0,0,0,8,S,E10
0,3,male,1.0,4,1,39,S,F4
1,3,male,9.0,0,2,20,S,F E69
1,1,female,9.0,0,1,55,S,E33
0,3,female,45.0,1,4,27,S,B4
0,1,male,45.0,0,0,25,S,E58
0,3,male,28.0,0,0,56,S,E36
0,1,male,61.0,0,0,33,S,B19
0,3,male,4.0,4,1,29,Q,C118
1,3,female,1.0,1,1,11,S,F33
0,3,male,21.0,0,0,7,S,F G73
0,1,male,56.0,0,0,30,C,A7
0,3,male,18.0,1,1,7,S,F G73
0,3,male,18.0,3,1,25,S,E58
0,1,female,50.0,0,0,28,C,C49
0,2,male,30.0,0,0,13,S,D56
0,3,male,36.0,0,0,0,S,B94
0,3,female,36.0,8,2,69,S,B35
0,2,male,9.0,0,0,15,C,G6
0,3,male,9.0,4,2,31,S,A31
1,2,male,1.0,2,1,39,S,F4
1,3,female,4.0,0,2,22,S,F E69
0,1,male,4.0,0,0,50,S,A32
1,3,female,45.0,1,0,15,Q,G6
1,1,male,45.0,0,0,26,S,C103
0,3,male,40.0,1,1,15,Q,G6
0,3,male,36.0,0,0,7,S,F G73
1,2,female,32.0,0,0,13,S,D56
0,2,male,19.0,0,0,13,S,D56
1,3,female,19.0,1,0,7,S,F G73
1,2,male,3.0,1,1,26,S,F2
1,1,female,44.0,0,0,27,C,B4
1,1,female,58.0,0,0,146,C,B80
0,3,male,58.0,0,0,7,Q,F G73
0,3,male,42.0,0,1,8,S,E10
1,3,female,42.0,0,0,7,Q,F G73
0,2,female,24.0,0,0,13,S,D56
0,3,male,28.0,0,0,9,S,E10
0,3,male,28.0,8,2,69,S,B35
0,3,male,34.0,0,0,6,S,F G73
0,3,male,45.5,0,0,7,C,F G73
1,3,male,18.0,0,0,8,S,E10
0,3,female,2.0,0,1,10,S,G6
0,3,male,32.0,1,0,15,S,G6
1,3,male,26.0,0,0,18,C,G6
1,3,female,16.0,0,0,7,Q,F G73
1,1,male,40.0,0,0,31,C,A31
0,3,male,24.0,0,0,7,S,F G73
1,2,female,35.0,0,0,21,S,F E69
0,3,male,22.0,0,0,7,S,F G73
0,2,male,30.0,0,0,13,S,D56
0,3,male,30.0,1,0,7,Q,F G73
1,1,female,31.0,1,0,113,C,D36
1,3,female,27.0,0,0,7,S,F G73
0,2,male,42.0,1,0,27,S,B4
1,1,female,32.0,0,0,76,C,D15
0,2,male,30.0,0,0,10,S,F33
1,3,male,16.0,0,0,8,S,E10
0,2,male,27.0,0,0,13,S,D56
0,3,male,51.0,0,0,8,S,E10
0,3,male,51.0,0,0,7,S,F G73
1,1,male,38.0,1,0,90,S,C93
0,3,male,22.0,0,0,9,S,E10
1,2,male,19.0,0,0,10,S,F33
0,3,male,20.5,0,0,7,S,F G73
0,2,male,18.0,0,0,13,S,D56
0,3,female,18.0,3,1,25,S,E58
1,1,female,35.0,1,0,83,S,C83
0,3,male,29.0,0,0,7,S,F G73
0,2,male,59.0,0,0,13,S,D56
1,3,female,5.0,4,2,31,S,A31
0,2,male,24.0,0,0,10,S,F33
0,3,female,24.0,0,0,7,S,F G73
0,2,male,44.0,1,0,26,S,C103
1,2,female,8.0,0,2,26,S,C103
0,2,male,19.0,0,0,10,S,F33
0,2,male,33.0,0,0,12,S,D
0,3,female,33.0,1,0,14,C,D56
1,3,female,29.0,1,0,15,Q,G6
0,2,male,29.0,0,0,10,S,F33
0,3,male,22.0,0,0,7,S,F G73
0,3,male,30.0,0,0,7,C,F G73
0,1,male,44.0,2,0,90,Q,C78
0,3,female,25.0,0,0,7,S,F G73
1,2,female,24.0,0,2,14,S,D56
1,1,male,37.0,1,1,52,S,D35
0,2,male,54.0,1,0,26,S,C103
0,3,male,54.0,0,0,7,S,F G73
0,3,female,29.0,1,1,10,S,G6
0,1,male,62.0,0,0,26,S,C87
0,3,male,30.0,1,0,16,S,G6
0,3,female,41.0,0,2,20,S,F E69
1,3,female,29.0,0,2,15,C,G6
1,1,female,29.0,0,0,79,C,B86
1,1,female,30.0,0,0,86,S,B77
1,1,female,35.0,0,0,512,C,B51 B53 B55
1,2,female,50.0,0,1,26,S,C103
0,3,male,50.0,0,0,7,Q,F G73
1,3,male,3.0,4,2,31,S,A31
0,1,male,52.0,1,1,79,S,E67
0,1,male,40.0,0,0,0,S,B94
0,3,female,40.0,0,0,7,Q,F G73
0,2,male,36.0,0,0,10,S,F33
0,3,male,16.0,4,1,39,S,F4
1,3,male,25.0,1,0,7,S,F G73
1,1,female,58.0,0,1,153,S,C125
1,1,female,35.0,0,0,135,S,C99
0,1,male,35.0,0,0,31,S,A31
1,3,male,25.0,0,0,0,S,B94
1,2,female,41.0,0,1,19,S,G6
0,1,male,37.0,0,1,29,C,C118
1,3,female,37.0,0,0,7,Q,F G73
1,1,female,63.0,1,0,77,S,D7
0,3,female,45.0,0,0,7,S,F G73
0,2,male,45.0,0,0,0,S,B94
0,3,male,7.0,4,1,29,Q,C118
1,3,female,35.0,1,1,20,S,F E69
0,3,male,65.0,0,0,7,Q,F G73
0,3,male,28.0,0,0,7,S,F G73
0,3,male,16.0,0,0,9,S,E10
1,3,male,19.0,0,0,8,S,E10
0,1,male,19.0,0,0,26,S,A19
0,3,male,33.0,0,0,8,C,E10
1,3,male,30.0,0,0,9,S,E10
0,3,male,22.0,0,0,7,S,F G73
1,2,male,42.0,0,0,13,S,D56
1,3,female,22.0,0,0,7,Q,F G73
1,1,female,26.0,0,0,78,S,D20
1,1,female,19.0,1,0,91,C,B49
0,2,male,36.0,0,0,12,C,D
0,3,female,24.0,0,0,8,S,E10
0,3,male,24.0,0,0,7,S,F G73
0,1,male,24.0,0,0,27,C,B4
0,3,male,23.5,0,0,7,C,F G73
0,1,female,2.0,1,2,151,S,C22 C26
1,1,male,2.0,0,0,30,S,C106
1,1,female,50.0,0,1,247,C,B58 B60
1,3,female,50.0,0,0,7,Q,F G73
1,3,male,19.0,2,0,23,Q,F E69
0,3,male,19.0,0,0,0,S,B94
1,2,female,19.0,0,0,12,Q,E101
0,3,male,0.92,0,0,8,S,E10
1,1,male,0.92,1,2,151,S,C22 C26
1,1,female,0.92,0,0,110,C,C70
1,1,female,17.0,1,0,108,C,C65
0,2,male,30.0,1,0,24,C,E58
1,1,female,30.0,0,0,56,C,E36
1,1,female,24.0,0,0,83,C,C54
1,1,female,18.0,2,2,262,C,B57 B59 B63 B66
0,2,female,26.0,1,1,26,S,C103
0,3,male,28.0,0,0,7,S,F G73
0,2,male,43.0,1,1,26,S,C103
1,3,female,26.0,0,0,7,S,F G73
1,2,female,24.0,1,0,26,S,C103
0,2,male,54.0,0,0,14,S,D56
1,1,female,31.0,0,2,164,S,C7
1,1,female,40.0,1,1,134,C,E34
0,3,male,22.0,0,0,7,S,F G73
0,3,male,27.0,0,0,7,S,F G73
1,2,female,30.0,0,0,12,Q,D
1,2,female,22.0,1,1,29,S,C118
0,3,male,22.0,8,2,69,S,B35
1,1,female,36.0,0,0,135,C,C32
0,3,male,61.0,0,0,6,S,F G73
1,2,female,36.0,0,0,13,S,D
1,3,female,31.0,1,1,20,S,F E69
1,1,female,16.0,0,1,57,C,B18
1,3,female,16.0,2,0,23,Q,F E69
0,1,male,45.5,0,0,28,S,C124
0,1,male,38.0,0,1,153,S,C91
0,3,male,16.0,2,0,18,S,G6
1,1,female,16.0,1,0,133,S,C99
0,3,male,29.0,0,0,7,S,F G73
0,1,male,29.0,1,0,66,S,C2
1,1,female,41.0,0,0,134,C,E40
1,3,male,45.0,0,0,8,S,E10
0,1,male,45.0,0,0,35,S,T
1,2,male,2.0,1,1,26,S,F2
1,1,female,24.0,3,2,263,S,C23 C25 C27
0,2,male,28.0,0,0,13,S,D56
0,2,male,25.0,0,0,13,S,D56
0,2,male,36.0,0,0,13,S,D56
1,2,female,24.0,0,0,13,S,F33
1,2,female,40.0,0,0,13,S,D56
1,3,female,40.0,1,0,16,S,G6
1,3,male,3.0,1,1,15,S,G6
0,3,male,42.0,0,0,8,S,E10
0,3,male,23.0,0,0,9,S,E10
0,1,male,23.0,0,0,35,S,C128
0,3,male,15.0,1,1,7,C,F G73
0,3,male,25.0,1,0,17,S,G6
0,3,male,25.0,0,0,7,C,F G73
0,3,male,28.0,0,0,9,S,E10
1,1,female,22.0,0,1,55,S,E33
0,2,female,38.0,0,0,13,S,D56
1,3,female,38.0,0,0,7,Q,F G73
1,3,female,40.0,0,0,7,Q,F G73
0,3,male,40.0,1,4,27,S,B4
0,2,male,29.0,1,0,27,C,B4
0,3,female,45.0,0,1,14,C,D56
0,3,male,35.0,0,0,7,S,F G73
0,3,male,35.0,1,0,15,Q,G6
0,3,male,30.0,0,0,7,S,F G73
1,1,female,60.0,1,0,75,C,D37
1,3,female,60.0,0,0,7,C,F G73
1,3,female,24.0,0,0,7,Q,F G73
1,1,female,24.0,0,0,69,C,B35
1,1,male,25.0,1,0,55,C,E50
0,3,male,18.0,1,0,6,S,F G73
0,3,male,19.0,0,0,8,S,E10
0,1,male,22.0,0,0,135,C,C99
0,3,female,3.0,3,1,21,S,F E69
1,1,female,3.0,1,0,82,C,B86
1,3,female,22.0,0,0,7,S,F G73
0,1,male,27.0,0,2,211,C,C82
0,3,male,20.0,0,0,4,C,F G73
0,3,male,19.0,0,0,7,S,F G73
1,1,female,42.0,0,0,227,C,C62 C64
1,3,female,1.0,0,2,15,C,G6
0,3,male,32.0,0,0,7,S,F G73
1,1,female,35.0,1,0,52,S,C110
0,3,male,35.0,0,0,7,S,F G73
0,2,male,18.0,0,0,73,S,B35
0,3,male,1.0,5,2,46,S,B39
1,2,female,36.0,0,0,13,S,D56
0,3,male,36.0,0,0,7,Q,F G73
1,2,female,17.0,0,0,12,C,D
1,1,male,36.0,1,2,120,S,B96 B98
1,3,male,21.0,0,0,7,S,F G73
0,3,male,28.0,2,0,7,S,F G73
1,1,female,23.0,1,0,113,C,D36
1,3,female,24.0,0,2,16,S,G6
0,3,male,22.0,0,0,7,S,F G73
0,3,female,31.0,0,0,7,S,F G73
0,2,male,46.0,0,0,26,S,C103
0,2,male,23.0,0,0,10,S,F33
1,2,female,28.0,0,0,12,S,D
1,3,male,39.0,0,0,7,S,F G73
0,3,male,26.0,0,0,8,S,E10
0,3,female,21.0,1,0,9,S,E10
0,3,male,28.0,1,0,15,S,G6
0,3,female,20.0,0,0,8,S,E10
0,2,male,34.0,1,0,21,S,F E69
0,3,male,51.0,0,0,7,S,F G73
1,2,male,3.0,1,1,18,S,G6
0,3,male,21.0,0,0,7,S,F G73
0,3,female,21.0,3,1,25,S,E58
0,3,male,21.0,0,0,7,S,F G73
0,3,male,33.0,0,0,6,Q,F G73
1,1,female,33.0,1,0,90,Q,C78
0,2,male,33.0,0,0,0,S,B94
1,3,male,44.0,0,0,7,S,F G73
0,3,female,44.0,0,0,8,S,E10
1,2,female,34.0,1,1,32,S,D50
1,2,female,18.0,0,2,13,S,D56
0,2,male,30.0,0,0,13,S,D56
0,3,female,10.0,0,2,24,S,E58
0,3,male,10.0,0,0,7,C,F G73
0,3,male,21.0,0,0,7,Q,F G73
0,3,male,29.0,0,0,7,S,F G73
0,3,female,28.0,1,1,14,S,D56
0,3,male,18.0,1,1,20,S,F E69
0,3,male,18.0,0,0,7,S,F G73
1,2,female,28.0,1,0,26,S,C103
1,2,female,19.0,0,0,26,S,C103
0,3,male,19.0,0,0,7,Q,F G73
1,3,male,32.0,0,0,8,S,E10
1,1,male,28.0,0,0,26,S,C52
1,3,female,28.0,1,0,16,S,G6
1,2,female,42.0,1,0,26,S,C103
0,3,male,17.0,0,0,7,S,F G73
0,1,male,50.0,1,0,55,S,E44
1,1,female,14.0,1,2,120,S,B96 B98
0,3,female,21.0,2,2,34,S,A5
1,2,female,24.0,2,3,18,S,G6
0,1,male,64.0,1,4,263,S,C23 C25 C27
0,2,male,31.0,0,0,10,S,F33
1,2,female,45.0,1,1,26,S,C103
0,3,male,20.0,0,0,9,S,E10
0,3,male,25.0,1,0,7,S,F G73
